,gender,attr3_1,attr3_s,attr3_2,attr3_3,Nb_col_attr3,Tot_attr3
0,0,6.0,,6.0,5.0,3,5.666666666666667
1,0,6.0,,6.0,5.0,3,5.666666666666667
2,0,6.0,,6.0,5.0,3,5.666666666666667
3,0,6.0,,6.0,5.0,3,5.666666666666667
4,0,6.0,,6.0,5.0,3,5.666666666666667
5,0,6.0,,6.0,5.0,3,5.666666666666667
6,0,6.0,,6.0,5.0,3,5.666666666666667
7,0,6.0,,6.0,5.0,3,5.666666666666667
8,0,6.0,,6.0,5.0,3,5.666666666666667
9,0,6.0,,6.0,5.0,3,5.666666666666667
10,0,7.0,,7.0,7.0,3,7.0
11,0,7.0,,7.0,7.0,3,7.0
12,0,7.0,,7.0,7.0,3,7.0
13,0,7.0,,7.0,7.0,3,7.0
14,0,7.0,,7.0,7.0,3,7.0
15,0,7.0,,7.0,7.0,3,7.0
16,0,7.0,,7.0,7.0,3,7.0
17,0,7.0,,7.0,7.0,3,7.0
18,0,7.0,,7.0,7.0,3,7.0
19,0,7.0,,7.0,7.0,3,7.0
20,0,8.0,,,,1,8.0
21,0,8.0,,,,1,8.0
22,0,8.0,,,,1,8.0
23,0,8.0,,,,1,8.0
24,0,8.0,,,,1,8.0
25,0,8.0,,,,1,8.0
26,0,8.0,,,,1,8.0
27,0,8.0,,,,1,8.0
28,0,8.0,,,,1,8.0
29,0,8.0,,,,1,8.0
30,0,7.0,,6.0,6.0,3,6.333333333333333
31,0,7.0,,6.0,6.0,3,6.333333333333333
32,0,7.0,,6.0,6.0,3,6.333333333333333
33,0,7.0,,6.0,6.0,3,6.333333333333333
34,0,7.0,,6.0,6.0,3,6.333333333333333
35,0,7.0,,6.0,6.0,3,6.333333333333333
36,0,7.0,,6.0,6.0,3,6.333333333333333
37,0,7.0,,6.0,6.0,3,6.333333333333333
38,0,7.0,,6.0,6.0,3,6.333333333333333
39,0,7.0,,6.0,6.0,3,6.333333333333333
40,0,6.0,,6.0,4.0,3,5.333333333333333
41,0,6.0,,6.0,4.0,3,5.333333333333333
42,0,6.0,,6.0,4.0,3,5.333333333333333
43,0,6.0,,6.0,4.0,3,5.333333333333333
44,0,6.0,,6.0,4.0,3,5.333333333333333
45,0,6.0,,6.0,4.0,3,5.333333333333333
46,0,6.0,,6.0,4.0,3,5.333333333333333
47,0,6.0,,6.0,4.0,3,5.333333333333333
48,0,6.0,,6.0,4.0,3,5.333333333333333
49,0,6.0,,6.0,4.0,3,5.333333333333333
50,0,5.0,,5.0,,2,5.0
